Avance|FechaAvance|Partido|TotalVotos|PerValidos|PerEmitidos
88.698|07/06/2021 05:48 h|TOTAL DE VOTOS EMITIDOS|17,261,652|0|100.000
88.698|07/06/2021 05:48 h|TOTAL DE VOTOS VÁLIDOS|16,173,319|100.000|93.695
88.698|07/06/2021 05:48 h|VOTOS EN BLANCO|109,070|0|0.632
88.698|07/06/2021 05:48 h|VOTOS NULOS|979,263|0|5.673
89.120|07/06/2021 06:18 h|FUERZA POPULAR|8,175,856|50.321|47.148
89.120|07/06/2021 06:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,071,458|49.679|46.546
89.120|07/06/2021 06:18 h|TOTAL DE VOTOS EMITIDOS|17,340,692|0|100.000
89.120|07/06/2021 06:18 h|TOTAL DE VOTOS VÁLIDOS|16,247,314|100.000|93.695
89.120|07/06/2021 06:18 h|VOTOS EN BLANCO|109,719|0|0.633
89.120|07/06/2021 06:18 h|VOTOS NULOS|983,659|0|5.673
89.611|07/06/2021 06:47 h|FUERZA POPULAR|8,207,598|50.271|47.102
89.611|07/06/2021 06:47 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,119,116|49.729|46.594
89.611|07/06/2021 06:47 h|TOTAL DE VOTOS EMITIDOS|17,425,238|0|100.000
89.611|07/06/2021 06:47 h|TOTAL DE VOTOS VÁLIDOS|16,326,714|100.000|93.696
89.611|07/06/2021 06:47 h|VOTOS EN BLANCO|110,513|0|0.634
89.611|07/06/2021 06:47 h|VOTOS NULOS|988,011|0|5.670
90.047|07/06/2021 07:17 h|FUERZA POPULAR|8,235,815|50.222|47.058
90.047|07/06/2021 07:17 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,162,852|49.778|46.641
90.047|07/06/2021 07:17 h|TOTAL DE VOTOS EMITIDOS|17,501,439|0|100.000
90.047|07/06/2021 07:17 h|TOTAL DE VOTOS VÁLIDOS|16,398,667|100.000|93.699
90.047|07/06/2021 07:17 h|VOTOS EN BLANCO|111,148|0|0.635
90.047|07/06/2021 07:17 h|VOTOS NULOS|991,624|0|5.666
90.447|07/06/2021 07:48 h|FUERZA POPULAR|8,265,235|50.203|47.040
90.447|07/06/2021 07:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,198,445|49.797|46.660
90.447|07/06/2021 07:48 h|TOTAL DE VOTOS EMITIDOS|17,570,573|0|100.000
90.447|07/06/2021 07:48 h|TOTAL DE VOTOS VÁLIDOS|16,463,680|100.000|93.700
90.447|07/06/2021 07:48 h|VOTOS EN BLANCO|111,711|0|0.636
90.447|07/06/2021 07:48 h|VOTOS NULOS|995,182|0|5.664
90.733|07/06/2021 08:18 h|FUERZA POPULAR|8,285,867|50.172|47.013
90.733|07/06/2021 08:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,228,988|49.828|46.690
90.733|07/06/2021 08:18 h|TOTAL DE VOTOS EMITIDOS|17,624,763|0|100.000
90.733|07/06/2021 08:18 h|TOTAL DE VOTOS VÁLIDOS|16,514,855|100.000|93.703
90.733|07/06/2021 08:18 h|VOTOS EN BLANCO|112,112|0|0.636
90.733|07/06/2021 08:18 h|VOTOS NULOS|997,796|0|5.661
91.157|07/06/2021 08:53 h|FUERZA POPULAR|8,310,588|50.127|46.970
91.157|07/06/2021 08:53 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,268,422|49.873|46.732
91.157|07/06/2021 08:53 h|TOTAL DE VOTOS EMITIDOS|17,693,255|0|100.000
91.157|07/06/2021 08:53 h|TOTAL DE VOTOS VÁLIDOS|16,579,010|100.000|93.702
91.157|07/06/2021 08:53 h|VOTOS EN BLANCO|112,802|0|0.638
91.157|07/06/2021 08:53 h|VOTOS NULOS|1,001,443|0|5.660
91.362|07/06/2021 09:18 h|FUERZA POPULAR|8,319,012|50.094|46.939
91.362|07/06/2021 09:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,287,923|49.906|46.763
91.362|07/06/2021 09:18 h|TOTAL DE VOTOS EMITIDOS|17,723,084|0|100.000
91.362|07/06/2021 09:18 h|TOTAL DE VOTOS VÁLIDOS|16,606,935|100.000|93.702
91.362|07/06/2021 09:18 h|VOTOS EN BLANCO|113,070|0|0.638
91.362|07/06/2021 09:18 h|VOTOS NULOS|1,003,079|0|5.660
91.697|07/06/2021 09:48 h|FUERZA POPULAR|8,339,898|50.078|46.924
91.697|07/06/2021 09:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,314,072|49.922|46.778
